Gene	Panel
A2ML1	sub_RefSeq_-20+10_FE_Cardiac_Arrhythmia_Cardiomyopathy_CHD_v1
A2ML1	sub_RefSeq_-20+10_FE_Cardiac_Arrhythmia_Cardiomyopathy_v1
A2ML1	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_Arrhythmia_v1
A2ML1	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_v1
A2ML1	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_v2
A2ML1	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_LQT_v1
A2ML1	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_PulmHypertension_v1
A2ML1	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_v1
A2ML1	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy+BAV_v1
A2ML1	sub_RefSeq_-20+10_FE_Cardiac_MolecularAutopsy_v1
AARS	IPN_All_ROIs_Regions_forCoverageBed
AARS	FE_IPN_SureSelect_hg19_coverage
AARS	IPN_SureSelect_V1_Regions_forCoverageBed
AARS	IPN-Ext_QXT
AARS	IPN-Ext_QXT_hg19_coverage
AARS	IPN-Ext_QXT_hg19_coverage_overlap
AARS	sub_RefSeq_-20+10_FE_IPNClone+AIFM1_v1
ABCA1	HTG_ONLY-20+10_hg19
ABCA1	HTG-20+10_hg19
ABCA12	sub_RefSeq_-20+10_FE_CongenitalIchthyosis_v1
ABCC6	sub_RefSeq_-20+10_FE_Aortopathy_ConnTissue_v1
ABCC6	sub_RefSeq_-20+10_FE_Aortopathy_ConnTissue_v2
ABCC6	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_Arrhythmia_v1
ABCC6	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_v1
ABCC6	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_v2
ABCC6	sub_RefSeq_-20+10_FE_Cardiac_CHD_ConnTissue_Noonan_Microcephaly_v1
ABCC6	sub_RefSeq_-20+10_FE_Cardiac_CHD_ConnTissue_Noonan_v1
ABCC6	sub_RefSeq_-20+10_FE_Conntissue_CeGAT+DA_v1
ABCC6	sub_RefSeq_-20+10_FE_Conntissue_CeGAT+Stickler_v1
ABCC6	sub_RefSeq_-20+10_FE_ConnTissue_v1
ABCC9	Cardiac_SureSelect_All_Regions_forCoverageBed
ABCC9	FE_Cardiac_SureSelect_hg19_coverage
ABCC9	FE_CHD_SureSelect_hg19_coverage
ABCC9	sub_RefSeq_-20+10_FE_Cardiac_Arrhythmia_Cardiomyopathy_CHD_v1
ABCC9	sub_RefSeq_-20+10_FE_Cardiac_Arrhythmia_Cardiomyopathy_v1
ABCC9	sub_RefSeq_-20+10_FE_Cardiac_Arrhythmia_v1
ABCC9	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_Arrhythmia_v1
ABCC9	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_v1
ABCC9	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_v2
ABCC9	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_LQT_v1
ABCC9	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_PulmHypertension_v1
ABCC9	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_v1
ABCC9	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy+BAV_v1
ABCC9	sub_RefSeq_-20+10_FE_Cardiac_MolecularAutopsy_v1
ACADVL	Cardiac_SureSelect_All_Regions_forCoverageBed
ACADVL	FE_Cardiac_SureSelect_hg19_coverage
ACADVL	sub_RefSeq_-20+10_FE_Cardiac_Arrhythmia_Cardiomyopathy_CHD_v1
ACADVL	sub_RefSeq_-20+10_FE_Cardiac_Arrhythmia_Cardiomyopathy_v1
ACADVL	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_Arrhythmia_v1
ACADVL	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_v1
ACADVL	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_v2
ACADVL	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_LQT_v1
ACADVL	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_PulmHypertension_v1
ACADVL	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_v1
ACADVL	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy+BAV_v1
ACADVL	sub_RefSeq_-20+10_FE_Cardiac_MolecularAutopsy_v1
ACP5	sub_RefSeq_-20+10_FE_ImmunologyPanel_v1
ACP5	sub_RefSeq_-20+10_FE_ImmunologyPanel+NF1ex27_v1
ACTA2	FE_Aortopathy_SureSelect_hg19_coverage
ACTA2	FE_CHD_SureSelect_hg19_coverage
ACTA2	sub_RefSeq_-20+10_FE_adHoc_aortopathy_GNAS_PHF6_HDAC4_IDS_v1
ACTA2	sub_RefSeq_-20+10_FE_Aortopathy_ConnTissue_v1
ACTA2	sub_RefSeq_-20+10_FE_Aortopathy_ConnTissue_v2
ACTA2	sub_RefSeq_-20+10_FE_Aortopathy_Overgrowth_v1
ACTA2	sub_RefSeq_-20+10_FE_Aortopathy_Overgrowth_v2
ACTA2	sub_RefSeq_-20+10_FE_Aortopathy_Overgrowth_v3
ACTA2	sub_RefSeq_-20+10_FE_Aortopathy_Overgrowth_v4
ACTA2	sub_RefSeq_-20+10_FE_Aortopathy_Overgrowth_v4_ForCovAssessmentONLY
ACTA2	sub_RefSeq_-20+10_FE_Aortopathy_Stickler_v1
ACTA2	sub_RefSeq_-20+10_FE_Aortopathy_Stickler_v2
ACTA2	sub_RefSeq_-20+10_FE_Aortopathy_v4
ACTA2	sub_RefSeq_-20+10_FE_Aortopathy_v5
ACTA2	sub_RefSeq_-20+10_FE_Aortopathy_v6
ACTA2	sub_RefSeq_-20+10_FE_AortopathyBAV_v1
