Panel Name,Panel ID,Version Number
A- or hypo-gammaglobulinaemia,553f9595bb5a1616e5ed45a8,1.25
Adult solid tumours for rare disease,391,0.4
Adult solid tumours pertinent cancer susceptibility,595ce30f8f62036352471f39,0.20
Agranulocytosis,553f9596bb5a1616e5ed45aa,1.3
Amelogenesis Imperfecta,58c7f3c78f620328d77ce70e,0.165
Amyotrophic lateral sclerosis/motor neuron disease,55d30b0322c1fc2ff2a5bf7b,1.8
Anophthalmia or microphthalmia,553f97abbb5a1616e5ed45f9,1.14
Arrhythmogenic Right Ventricular Cardiomyopathy,55a3876e22c1fc63fec6d0da,1.4
Arthrogryposis,55b75d5b22c1fc05fd2345c9,2.22
Atypical haemolytic uraemic syndrome,563248da22c1fc58285b283a,1.2
Auditory Neuropathy Spectrum Disorder,55b20bdf22c1fc7dd6b9bbb7,1.5
Autosomal recessive congenital ichthyosis,562e5d2622c1fc582756e3b5,1.6
Balanced translocations with an unusual phenotype,5554c7cabb5a161bf644a3ce,0.3
Beckwith-Wiedemann syndrome (BWS) and other congenital overgrowth disorders,56fa8eb88f62030f36e3026b,1.36
Bladder cancer pertinent cancer susceptibility,596f48578f620352d12240e4,0.6
Brain cancer pertinent cancer susceptibility,596f81208f620352d0e3eea7,0.15
Brain channelopathy,55c2321822c1fc0fe5e416e1,1.25
Breast cancer pertinent cancer susceptibility,596f82e88f620352d0e3eeb1,0.11
Brugada syndrome,55a3a78122c1fc6711b0c6b5,1.7
CAKUT,553f9696bb5a1616e5ed45d1,1.19
Cataracts,553f979fbb5a1616e5ed45f8,1.17
Catecholaminergic Polymorphic Ventricular Tachycardia,55a3aac122c1fc6710839b7d,1.2
Cerebellar hypoplasia,568f871422c1fc1c79ca176d,1.10
Cerebral folate deficiency,55537918bb5a161bf644a3c7,1.2
Cerebrovascular disorders,5819a24f8f6203341de99c89,1.31
Charcot-Marie-Tooth disease,55ad205422c1fc7041340234,1.14
Childhood solid tumours pertinent cancer susceptibility,595cd7cc8f62036352471ea1,0.33
Choanal atresia,553f9697bb5a1616e5ed45d3,1.7
Cholestasis,385,0.1
Chondrodysplasia punctata,554a0ac9bb5a167e4ccd1ec0,1.2
Classical tuberous sclerosis,553f968cbb5a1616e5ed45cc,1.2
Clefting,57acb8268f620364dc61afd3,1.10
ClinGen Gene Validity Curations,58ee38f88f62033bda307d54,0.63
ClinGen_Familial thoracic aortic aneurysm and aortic dissection,594be3878f62037ee3e7e72f,0.10
Cockayne and Xeroderma Pigmentosum-like disorders,5811a8738f620323c5766a2b,1.3
Colorectal cancer pertinent cancer susceptibility,596f84848f620352d0e3eeba,0.22
Combined B and T cell defect,55a628f522c1fc6710839b93,1.9
Congenital adrenal hypoplasia,55bf785822c1fc0fe45530bf,1.5
Congenital disorders of glycosylation,58346b8b8f62036225ca8a7d,1.12
Congenital hearing impairment (profound/severe),558ac48fbb5a16630dcfeaad,1.33
Congenital hypothyroidism or thyroid agenesis,5763f2938f620350a1996046,1.1
Congenital muscular dystrophy,55b117c022c1fc7dd7ce411c,1.12
Congenital myaesthenia,553f94c2bb5a1616e5ed459c,1.8
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.53
Congenital neutropaenia,553f9595bb5a1616e5ed45a9,1.22
Corneal abnormalities,553f979ebb5a1616e5ed45f6,1.1
Craniosynostosis syndromes phenotypes,55b605f722c1fc05fd2345af,1.29
Currarino triad,5763f3788f620350a199604a,1.1
Cystic kidney disease,55a646ef22c1fc6710839b9a,1.20
Cytopaenias and congenital anaemias,58a70e858f62037e8779b2e8,1.43
DNA Repair Genes pertinent cancer susceptibility,594aa3c78f620375d17ea723,0.14
Deafness and congenital structural abnormalities,57f4dbd18f62036d37cfe4e4,1.4
Diabetes with additional phenotypes suggestive of a monogenic aetiology,55a9238422c1fc6711b0c6c3,1.50
