Panel Name,Panel ID,Version Number,Gene Name,Gene Status
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,0.40,EPG5,Green
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,0.40,LAMP2,Green
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,0.40,LYST,Green
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,0.40,MLPH,Green
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,0.40,MYO5A,Green
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,0.40,AP1S1,Amber
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,0.40,AP3B1,Amber
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,0.40,CTDP1,Amber
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,0.40,RAB27A,Red
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,0.40,SIL1,Red
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,0.40,SNAP29,Red
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,0.40,VPS13B,Red
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,AIP,Green
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,CDC73,Green
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,CDKN1B,Green
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,MAX,Green
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,MEN1,Green
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,PRKAR1A,Green
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,RET,Green
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,SDHAF2,Green
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,SDHB,Green
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,SDHC,Green
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,SDHD,Green
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,TMEM127,Green
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,TP53,Green
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,VHL,Green
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,NTRK1,Red
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,PTEN,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,ACTA1,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,BIN1,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,CACNA1S,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,CFL2,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,COL12A1,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,COL6A1,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,COL6A2,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,COL6A3,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,DNM2,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,EPG5,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,FKBP14,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,KBTBD13,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,KLHL40,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,KLHL41,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,LMNA,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,LMOD3,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,MAP3K20*,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,MEGF10,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,MICU1,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,MTM1,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,MYH2,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,MYH3,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,MYH7,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,MYH8,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,MYO18B,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,NEB,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,ORAI1,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,RYR1,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,SCN4A,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,SEPN1,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,SLC25A4,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,SPEG,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,STAC3,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,STIM1,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,TNNT1,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,TPM2,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,TPM3,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,TTN,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,VMA21,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,CASQ1,Amber
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,CCDC78,Amber
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,CNTN1,Amber
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,HACD1,Amber
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,KY,Amber
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,LAMP2,Amber
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,MTMR14,Amber
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,MYBPC3,Amber
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,MYL1,Amber
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,MYPN,Amber
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,NEFL,Amber
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,VPS33B,Amber
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,ATP2A1,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,BAG3,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,CAV3,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,CHCHD10,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,COL9A3,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,CPT2,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,CRYAB,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,DES,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,DMPK,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,DNAJB6,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,DYSF,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,ECEL1,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,FAM111B,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,FLNC,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,GFER,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,GNE,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,HNRNPA1,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,HRAS,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,ISCU,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,LDB3,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,MATR3,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,MT-TL1,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,MYBPC1,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,MYF6,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,MYH14,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,MYOT,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,PIEZO2,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,PNPLA2,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,PUS1,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,RBCK1,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,SLC25A42,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,STIM2,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,TIA1,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,TNNI2,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,TNNT3,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,VCP,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,YARS2,Red
Congenital myaesthenia,553f94c2bb5a1616e5ed459c,1.4,AGRN,Green
Congenital myaesthenia,553f94c2bb5a1616e5ed459c,1.4,CHAT,Green
Congenital myaesthenia,553f94c2bb5a1616e5ed459c,1.4,CHRNA1,Green
Congenital myaesthenia,553f94c2bb5a1616e5ed459c,1.4,CHRNB1,Green
Congenital myaesthenia,553f94c2bb5a1616e5ed459c,1.4,CHRND,Green
Congenital myaesthenia,553f94c2bb5a1616e5ed459c,1.4,CHRNE,Green
Congenital myaesthenia,553f94c2bb5a1616e5ed459c,1.4,CHRNG,Green
Congenital myaesthenia,553f94c2bb5a1616e5ed459c,1.4,COL13A1,Green
Congenital myaesthenia,553f94c2bb5a1616e5ed459c,1.4,COLQ,Green
Congenital myaesthenia,553f94c2bb5a1616e5ed459c,1.4,DOK7,Green
