Panel Name,Panel ID,Version Number,Gene Name,Gene Status,Date Recorded,MOI
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,1.0,AP1S1,Green,2017-09-01 00:19:52,biallelic
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,1.0,AP3B1,Green,2017-09-01 00:19:52,biallelic
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,1.0,EPG5,Green,2017-09-01 00:19:52,biallelic
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,1.0,LAMP2,Green,2017-09-01 00:19:52,xlinked_monoallelic
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,1.0,LYST,Green,2017-09-01 00:19:52,biallelic
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,1.0,MLPH,Green,2017-09-01 00:19:52,biallelic
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,1.0,MYO5A,Green,2017-09-01 00:19:52,biallelic
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,1.0,RAB27A,Green,2017-09-01 00:19:52,biallelic
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,1.0,SIL1,Green,2017-09-01 00:19:52,biallelic
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,1.0,SNAP29,Green,2017-09-01 00:19:52,biallelic
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,1.0,VPS13B,Green,2017-09-01 00:19:52,biallelic
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,1.0,CTDP1,Amber,2017-09-01 00:19:52,biallelic
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,AIP,Green,2017-09-01 00:19:52,monoallelic_not_imprinted
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,CDC73,Green,2017-09-01 00:19:52,monoallelic_not_imprinted
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,CDKN1B,Green,2017-09-01 00:19:52,monoallelic_not_imprinted
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,MAX,Green,2017-09-01 00:19:52,monoallelic_not_imprinted
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,MEN1,Green,2017-09-01 00:19:52,monoallelic_not_imprinted
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,PRKAR1A,Green,2017-09-01 00:19:52,monoallelic_not_imprinted
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,RET,Green,2017-09-01 00:19:52,monoallelic_not_imprinted
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,SDHAF2,Green,2017-09-01 00:19:52,monoallelic
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,SDHB,Green,2017-09-01 00:19:52,monoallelic_not_imprinted
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,SDHC,Green,2017-09-01 00:19:52,monoallelic_not_imprinted
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,SDHD,Green,2017-09-01 00:19:52,monoallelic_maternally_imprinted
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,TMEM127,Green,2017-09-01 00:19:52,monoallelic_not_imprinted
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,TP53,Green,2017-09-01 00:19:52,monoallelic_not_imprinted
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,VHL,Green,2017-09-01 00:19:52,monoallelic_not_imprinted
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,NTRK1,Red,2017-09-01 00:19:52,monoallelic
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,PTEN,Red,2017-09-01 00:19:52,monoallelic_not_imprinted
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,ACTA1,Green,2017-09-01 00:19:52,monoallelic_and_biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,BIN1,Green,2017-09-01 00:19:52,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,CACNA1S,Green,2017-09-01 00:19:52,monoallelic_and_biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,CFL2,Green,2017-09-01 00:19:52,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,COL12A1,Green,2017-09-01 00:19:52,monoallelic_and_biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,COL6A1,Green,2017-09-01 00:19:52,monoallelic_and_biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,COL6A2,Green,2017-09-01 00:19:52,monoallelic_and_biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,COL6A3,Green,2017-09-01 00:19:52,monoallelic_and_biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,DNM2,Green,2017-09-01 00:19:52,monoallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,EPG5,Green,2017-09-01 00:19:52,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,FKBP14,Green,2017-09-01 00:19:52,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,KBTBD13,Green,2017-09-01 00:19:52,monoallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,KLHL40,Green,2017-09-01 00:19:52,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,KLHL41,Green,2017-09-01 00:19:52,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,LGI4,Green,2017-09-01 00:19:52,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,LMNA,Green,2017-09-01 00:19:52,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,LMOD3,Green,2017-09-01 00:19:52,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,MAP3K20*,Green,2017-09-01 00:19:52,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,MEGF10,Green,2017-09-01 00:19:52,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,MICU1,Green,2017-09-01 00:19:52,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,MTM1,Green,2017-09-01 00:19:52,xlinked_biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,MYH2,Green,2017-09-01 00:19:52,monoallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,MYH3,Green,2017-09-01 00:19:52,monoallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,MYH7,Green,2017-09-01 00:19:52,monoallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,MYH8,Green,2017-09-01 00:19:52,monoallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,MYO18B,Green,2017-09-01 00:19:52,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,NEB,Green,2017-09-01 00:19:52,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,ORAI1,Green,2017-09-01 00:19:52,monoallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,RYR1,Green,2017-09-01 00:19:52,monoallelic_and_biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,SCN4A,Green,2017-09-01 00:19:52,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,SEPN1,Green,2017-09-01 00:19:52,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,SLC25A4,Green,2017-09-01 00:19:52,monoallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,SPEG,Green,2017-09-01 00:19:52,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,STAC3,Green,2017-09-01 00:19:52,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,STIM1,Green,2017-09-01 00:19:52,monoallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,TNNT1,Green,2017-09-01 00:19:52,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,TPM2,Green,2017-09-01 00:19:52,monoallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,TPM3,Green,2017-09-01 00:19:52,monoallelic_and_biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,TTN,Green,2017-09-01 00:19:52,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,VMA21,Green,2017-09-01 00:19:52,xlinked_biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,CASQ1,Amber,2017-09-01 00:19:52,"MONOALLELIC, autosomal or pseudoautosomal"
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,CCDC78,Amber,2017-09-01 00:19:52,monoallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,CNTN1,Amber,2017-09-01 00:19:52,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,HACD1,Amber,2017-09-01 00:19:52,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,KY,Amber,2017-09-01 00:19:52,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,LAMP2,Amber,2017-09-01 00:19:52,xlinked_monoallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,MTMR14,Amber,2017-09-01 00:19:52,monoallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,MYBPC3,Amber,2017-09-01 00:19:52,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,MYL1,Amber,2017-09-01 00:19:52,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,MYPN,Amber,2017-09-01 00:19:52,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,NEFL,Amber,2017-09-01 00:19:52,"MONOALLELIC, autosomal or pseudoautosomal"
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,VPS33B,Amber,2017-09-01 00:19:52,
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,ATP2A1,Red,2017-09-01 00:19:52,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,BAG3,Red,2017-09-01 00:19:52,monoallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,CAV3,Red,2017-09-01 00:19:52,monoallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,CHCHD10,Red,2017-09-01 00:19:52,monoallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,COL9A3,Red,2017-09-01 00:19:52,monoallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,CPT2,Red,2017-09-01 00:19:52,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,CRYAB,Red,2017-09-01 00:19:52,monoallelic_and_biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,DES,Red,2017-09-01 00:19:52,monoallelic_and_biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,DMPK,Red,2017-09-01 00:19:52,monoallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,DNAJB6,Red,2017-09-01 00:19:52,monoallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,DYSF,Red,2017-09-01 00:19:52,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,ECEL1,Red,2017-09-01 00:19:52,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,FAM111B,Red,2017-09-01 00:19:52,monoallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,FLNC,Red,2017-09-01 00:19:52,
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,GFER,Red,2017-09-01 00:19:52,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,GNE,Red,2017-09-01 00:19:52,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,HNRNPA1,Red,2017-09-01 00:19:52,monoallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,HRAS,Red,2017-09-01 00:19:52,monoallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,ISCU,Red,2017-09-01 00:19:52,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,LDB3,Red,2017-09-01 00:19:52,monoallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,MATR3,Red,2017-09-01 00:19:52,monoallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,MT-TL1,Red,2017-09-01 00:19:52,mitochondrial
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,MYBPC1,Red,2017-09-01 00:19:52,monoallelic_and_biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,MYF6,Red,2017-09-01 00:19:52,monoallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,MYH14,Red,2017-09-01 00:19:52,monoallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,MYOT,Red,2017-09-01 00:19:52,monoallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,PIEZO2,Red,2017-09-01 00:19:52,monoallelic_and_biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,PNPLA2,Red,2017-09-01 00:19:52,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,PUS1,Red,2017-09-01 00:19:52,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,RBCK1,Red,2017-09-01 00:19:52,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,SLC25A42,Red,2017-09-01 00:19:52,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,SPTBN4,Red,2017-09-01 00:19:52,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,STIM2,Red,2017-09-01 00:19:52,
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,TIA1,Red,2017-09-01 00:19:52,monoallelic_and_biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,TNNI2,Red,2017-09-01 00:19:52,monoallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,TNNT3,Red,2017-09-01 00:19:52,monoallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,VCP,Red,2017-09-01 00:19:52,monoallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.46,YARS2,Red,2017-09-01 00:19:52,biallelic
Congenital myaesthenia,553f94c2bb5a1616e5ed459c,1.4,AGRN,Green,2017-09-01 00:19:52,biallelic
Congenital myaesthenia,553f94c2bb5a1616e5ed459c,1.4,CHAT,Green,2017-09-01 00:19:52,biallelic
