Panel Name,Panel ID,Version Number,Gene Name,Gene Status
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,0.47,EPG5,Green
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,0.47,LAMP2,Green
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,0.47,LYST,Green
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,0.47,MLPH,Green
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,0.47,MYO5A,Green
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,0.47,RAB27A,Green
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,0.47,SIL1,Green
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,0.47,SNAP29,Green
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,0.47,AP1S1,Amber
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,0.47,AP3B1,Amber
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,0.47,CTDP1,Amber
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,0.47,VPS13B,Red
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,AIP,Green
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,CDC73,Green
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,CDKN1B,Green
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,MAX,Green
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,MEN1,Green
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,PRKAR1A,Green
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,RET,Green
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,SDHAF2,Green
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,SDHB,Green
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,SDHC,Green
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,SDHD,Green
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,TMEM127,Green
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,TP53,Green
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,VHL,Green
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,NTRK1,Red
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,PTEN,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,ACTA1,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,BIN1,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,CACNA1S,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,CFL2,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,COL12A1,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,COL6A1,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,COL6A2,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,COL6A3,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,DNM2,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,EPG5,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,FKBP14,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,KBTBD13,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,KLHL40,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,KLHL41,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,LMNA,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,LMOD3,Green
