Panel Name,Panel ID,Version Number,Gene Name,Gene Status,Date Recorded,MOI
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,0.40,EPG5,Green,2017-06-29 12:11:15,biallelic
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,0.40,LAMP2,Green,2017-06-29 12:11:15,xlinked_monoallelic
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,0.40,LYST,Green,2017-06-29 12:11:15,biallelic
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,0.40,MLPH,Green,2017-06-29 12:11:15,biallelic
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,0.40,MYO5A,Green,2017-06-29 12:11:15,biallelic
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,0.40,AP1S1,Amber,2017-06-29 12:11:15,biallelic
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,0.40,AP3B1,Amber,2017-06-29 12:11:15,biallelic
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,0.40,CTDP1,Amber,2017-06-29 12:11:15,biallelic
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,0.40,RAB27A,Red,2017-06-29 12:11:15,biallelic
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,0.40,SIL1,Red,2017-06-29 12:11:15,biallelic
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,0.40,SNAP29,Red,2017-06-29 12:11:15,biallelic
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,0.40,VPS13B,Red,2017-06-29 12:11:15,biallelic
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,AIP,Green,2017-06-29 12:11:15,monoallelic_not_imprinted
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,CDC73,Green,2017-06-29 12:11:15,monoallelic_not_imprinted
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,CDKN1B,Green,2017-06-29 12:11:15,monoallelic_not_imprinted
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,MAX,Green,2017-06-29 12:11:15,monoallelic_not_imprinted
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,MEN1,Green,2017-06-29 12:11:15,monoallelic_not_imprinted
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,PRKAR1A,Green,2017-06-29 12:11:15,monoallelic_not_imprinted
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,RET,Green,2017-06-29 12:11:15,monoallelic_not_imprinted
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,SDHAF2,Green,2017-06-29 12:11:15,monoallelic
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,SDHB,Green,2017-06-29 12:11:15,monoallelic_not_imprinted
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,SDHC,Green,2017-06-29 12:11:15,monoallelic_not_imprinted
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,SDHD,Green,2017-06-29 12:11:15,monoallelic_maternally_imprinted
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,TMEM127,Green,2017-06-29 12:11:15,monoallelic_not_imprinted
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,TP53,Green,2017-06-29 12:11:15,monoallelic_not_imprinted
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,VHL,Green,2017-06-29 12:11:15,monoallelic_not_imprinted
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,NTRK1,Red,2017-06-29 12:11:15,monoallelic
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,PTEN,Red,2017-06-29 12:11:15,monoallelic_not_imprinted
