Panel Name,Panel ID,Version Number,Gene Name,Gene Status,Date Recorded,MOI
A- or hypo-gammaglobulinaemia,553f9595bb5a1616e5ed45a8,1.25,CD19,Green,2018-01-02 16:33:03,biallelic
A- or hypo-gammaglobulinaemia,553f9595bb5a1616e5ed45a8,1.25,BLNK,Green,2018-01-02 16:33:03,biallelic
A- or hypo-gammaglobulinaemia,553f9595bb5a1616e5ed45a8,1.25,CTLA4,Green,2018-01-02 16:33:03,monoallelic_not_imprinted
A- or hypo-gammaglobulinaemia,553f9595bb5a1616e5ed45a8,1.25,IKZF1,Green,2018-01-02 16:33:03,monoallelic_not_imprinted
A- or hypo-gammaglobulinaemia,553f9595bb5a1616e5ed45a8,1.25,PIK3CD,Green,2018-01-02 16:33:03,monoallelic_not_imprinted
A- or hypo-gammaglobulinaemia,553f9595bb5a1616e5ed45a8,1.25,DNMT3B,Green,2018-01-02 16:33:03,biallelic
A- or hypo-gammaglobulinaemia,553f9595bb5a1616e5ed45a8,1.25,PIK3R1,Green,2018-01-02 16:33:03,monoallelic_and_more_severe_biallelic
A- or hypo-gammaglobulinaemia,553f9595bb5a1616e5ed45a8,1.25,TCN2,Green,2018-01-02 16:33:03,biallelic
A- or hypo-gammaglobulinaemia,553f9595bb5a1616e5ed45a8,1.25,BTK,Green,2018-01-02 16:33:03,xlinked_monoallelic
A- or hypo-gammaglobulinaemia,553f9595bb5a1616e5ed45a8,1.25,AICDA,Green,2018-01-02 16:33:03,biallelic
A- or hypo-gammaglobulinaemia,553f9595bb5a1616e5ed45a8,1.25,EXTL3,Green,2018-01-02 16:33:03,biallelic
A- or hypo-gammaglobulinaemia,553f9595bb5a1616e5ed45a8,1.25,IGHM,Green,2018-01-02 16:33:03,biallelic
A- or hypo-gammaglobulinaemia,553f9595bb5a1616e5ed45a8,1.25,PLCG2,Amber,2018-01-02 16:33:03,monoallelic_not_imprinted
A- or hypo-gammaglobulinaemia,553f9595bb5a1616e5ed45a8,1.25,TNFRSF13B,Amber,2018-01-02 16:33:03,monoallelic_and_biallelic
A- or hypo-gammaglobulinaemia,553f9595bb5a1616e5ed45a8,1.25,UNG,Amber,2018-01-02 16:33:03,biallelic
A- or hypo-gammaglobulinaemia,553f9595bb5a1616e5ed45a8,1.25,NFKB2,Amber,2018-01-02 16:33:03,monoallelic_not_imprinted
A- or hypo-gammaglobulinaemia,553f9595bb5a1616e5ed45a8,1.25,TCF3,Amber,2018-01-02 16:33:03,monoallelic
A- or hypo-gammaglobulinaemia,553f9595bb5a1616e5ed45a8,1.25,MYD88,Amber,2018-01-02 16:33:03,monoallelic_and_biallelic
A- or hypo-gammaglobulinaemia,553f9595bb5a1616e5ed45a8,1.25,TTC37,Amber,2018-01-02 16:33:03,biallelic
A- or hypo-gammaglobulinaemia,553f9595bb5a1616e5ed45a8,1.25,LAT,Amber,2018-01-02 16:33:03,biallelic
A- or hypo-gammaglobulinaemia,553f9595bb5a1616e5ed45a8,1.25,GAD1,Red,2018-01-02 16:33:03,biallelic
A- or hypo-gammaglobulinaemia,553f9595bb5a1616e5ed45a8,1.25,CD79A,Red,2018-01-02 16:33:03,biallelic
A- or hypo-gammaglobulinaemia,553f9595bb5a1616e5ed45a8,1.25,CR2,Red,2018-01-02 16:33:03,biallelic
A- or hypo-gammaglobulinaemia,553f9595bb5a1616e5ed45a8,1.25,CD79B,Red,2018-01-02 16:33:03,biallelic
